SoundName_(.wav)	Fricative_(SAMPA)	MiddleTime_(s)	Duration_(ms)	MeanIntensity_(dB)	CentreOfGravity_(Hz)	PhonemesToNextFricative	DurationToNextFricative_(s)	InWord	WordLength	FricativePositionInWord
LYSL042_dossier1	v	0.05071400000000004	30.00000000000003	45.47769480477726	823.1420113558505	1	0.05999999999999994	Vous	3	1
LYSL042_dossier1	z	0.15071400000000001	50.00000000000004	74.38061965260486	753.5613250694205	16	1.4300000000000002	Vous	3	3
LYSL042_dossier1	S	1.6707140000000003	129.9999999999999	70.85704554109411	3170.3085232180683	6	0.31999999999999984	Marche	4	4
LYSL042_dossier1	s	2.130714	149.99999999999991	67.60857504981473	5125.778098036512	6	0.6499999999999999	l'élection	8	6
LYSL042_dossier1	z	2.890714	70.00000000000028	69.21343711495885	588.6393732679479	3	0.19999999999999973	présidentielle	11	4
LYSL042_dossier1	s	3.1957139999999997	140.0000000000001	66.41521884357039	5831.367537278231	4	0.3299999999999996	présidentielle	11	8
LYSL042_dossier1	v	3.6357139999999997	80.00000000000007	68.07629389108034	209.83808755184873	1	0.03000000000000025	vous	3	1
LYSL042_dossier1	z	3.755714	100.00000000000054	73.16350104716057	349.4376288176777	1	0.03999999999999915	vous	3	3
LYSL042_dossier1	v	3.870714	50.00000000000071	69.12152879907707	312.0124304410695	3	0.13000000000000034	avez	3	2
LYSL042_dossier1	s	4.060714	69.99999999999851	64.50803237130636	6440.404443229794	13	0.9600000000000009	accepté	7	3
LYSL042_dossier1	z	5.095714	80.00000000000007	69.19701562520959	426.63122087186576	1	0.07000000000000028	proposition	10	6
LYSL042_dossier1	s	5.2407140000000005	70.00000000000028	65.04224844286205	3691.6283214395376	2	0.09999999999999964	proposition	10	8
LYSL042_dossier1	v	5.395714	39.99999999999915	74.36140004870462	223.1858911978367	1	0.030000000000001137	Vous	3	1
LYSL042_dossier1	z	5.465714	39.99999999999915	70.05537531676937	379.21447978953637	31	1.7300000000000004	Vous	3	3
LYSL042_dossier1	v	7.235714	39.99999999999915	67.28488654444469	394.80131596275567	4	0.34999999999999964	avoir	4	2
LYSL042_dossier1	v	7.625713999999999	40.000000000000924	71.39537138159638	335.83227840883745	4	0.22000000000000064	l'avoir	5	3
LYSL042_dossier1	s	7.900714000000001	70.00000000000028	59.064433946803675	3396.8891266647133	14	1.9360999999999997	acceptée	7	3
LYSL042_dossier1	Z	9.936814	129.999999999999	71.17061173006923	1025.7898869258156	5	0.22000000000000064	l'imaginaire	9	5
LYSL042_dossier1	s	10.261814000000001	80.00000000000007	64.41943380317372	3689.3359201423195	7	0.40000000000000036	historique	7	2
LYSL042_dossier1	s	10.751814	99.99999999999964	63.76615456527468	3881.4984431864386	7	0.3100000000000005	série	4	1
LYSL042_dossier1	s	11.136814000000001	49.999999999998934	66.17305432573096	2974.3314963541807	5	0.26000000000000156	d'émissions	7	5
LYSL042_dossier1	f	11.466814000000001	89.99999999999986	57.1150267525016	1418.0879620952041	1	0.049999999999998934	faisons	4	1
LYSL042_dossier1	z	11.586814	50.00000000000071	63.79434259612282	619.7827541539006	11	0.9700000000000006	faisons	4	3
LYSL042_dossier1	s	12.641814	119.99999999999922	62.25958563678305	4879.0261954591515	3	0.35999999999999943	deux-milles-sept	8	6
LYSL042_dossier1	v	13.086814	50.00000000000071	65.138198522046	240.7195749185184	23	1.5299999999999994	avec	4	2
LYSL042_dossier1	s	14.706814	129.999999999999	66.24942532804857	3948.3475478041723	6	0.9162590000000002	aussi	3	2
LYSL042_dossier1	z	15.728073	80.00000000000185	69.34498188944353	618.3553082009433	4	0.18999999999999773	les	3	3
LYSL042_dossier1	s	16.018073	120.000000000001	68.49840683917404	4289.316392743	10	1.120000000000001	élections	8	5
LYSL042_dossier1	s	17.278073	160.00000000000014	68.86279419616251	2139.3779655117114	15	1.0300000000000011	personnels	8	4
LYSL042_dossier1	s	18.433073	89.9999999999963	63.69706727184962	5853.243156325115	14	1.110000000000003	personnes	6	4
LYSL042_dossier1	s	19.643073	109.99999999999943	70.68381316521494	1038.1679765357019	5	0.1999999999999993	certaine	6	1
LYSL042_dossier1	f	19.938073	79.9999999999983	62.35154037700462	682.3192002235717	1	0.0400000000000027	façon	4	1
LYSL042_dossier1	s	20.088073	140.00000000000057	66.95146478073627	3460.706338680477	8	0.9800000000000004	façon	4	3
LYSL042_dossier1	S	21.193073000000002	109.99999999999943	64.08369888118185	1932.345405339096	1	0.03999999999999915	chose	3	1
LYSL042_dossier1	z	21.318073	59.99999999999872	69.27154985112202	312.4305729482485	1	0.05000000000000071	chose	3	3
LYSL042_dossier1	v	21.418073	39.99999999999915	66.96029821380547	252.52814702303777	4	0.45000000000000284	voir	4	1
LYSL042_dossier1	v	21.913073	49.99999999999716	69.83387348635213	303.63506765483896	4	0.23000000000000043	avec	4	2
LYSL042_dossier1	s	22.223073	109.99999999999943	60.06341008348495	4342.109610386159	5	0.9418590000000009	l'histoire	7	3
